trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.02, 'e': 0.43171052342907973}",20,0,-70.9731583101544,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
43,False,"{'a': 0.02, 'e': 0.4231620823177488}",25,0,-103.7930584164638,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
44,False,"{'a': 0.02, 'e': 0.4147829116815814}",30,10,-24.74620745608017,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",1
45,False,"{'a': 0.02, 'e': 0.4065696597405991}",20,0,-22.015469685862158,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
46,False,"{'a': 0.02, 'e': 0.39851904108451414}",20,6,-31.685510955389418,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
47,False,"{'a': 0.02, 'e': 0.3906278353585211}",30,15,-31.862316233631475,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 0}",1
48,False,"{'a': 0.02, 'e': 0.38289288597511206}",20,6,6.2529150940777045,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
49,False,"{'a': 0.02, 'e': 0.37531109885139957}",20,11,17.175073936707122,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.02, 'e': 0.36787944117144233}",20,6,-10.077397271148598,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
51,False,"{'a': 0.02, 'e': 0.3605949401730783}",25,11,-46.4178858508204,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
52,False,"{'a': 0.02, 'e': 0.35345468195878016}",25,3,-24.825099443785053,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 0}",1
53,False,"{'a': 0.02, 'e': 0.3464558103300574}",20,0,14.684528067595195,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
54,False,"{'a': 0.02, 'e': 0.3395955256449391}",20,0,-14.74564727433363,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
55,False,"{'a': 0.02, 'e': 0.33287108369807955}",25,11,13.262483974339546,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.02, 'e': 0.32627979462303947}",20,0,4.2131726492011286,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
57,False,"{'a': 0.02, 'e': 0.31981902181630384}",25,6,-24.562534335872396,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 0}",1
58,False,"{'a': 0.02, 'e': 0.3134861808826053}",20,0,5.045432992745628,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
59,False,"{'a': 0.02, 'e': 0.30727873860113125}",25,7,-2.4771325880446105,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
60,False,"{'a': 0.02, 'e': 0.30119421191220214}",20,7,13.048523888363452,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.02, 'e': 0.2952301669240142}",20,0,-25.10759697004151,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
62,False,"{'a': 0.02, 'e': 0.2893842179390506}",20,8,24.28184186446999,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.02, 'e': 0.2836540264997704}",25,14,-5.183338138959698,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
64,False,"{'a': 0.02, 'e': 0.27803730045319414}",20,8,23.20078226724847,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.02, 'e': 0.2725317930340126}",30,0,26.055764232478595,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
66,False,"{'a': 0.02, 'e': 0.26713530196585034}",20,9,14.876111752848043,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.02, 'e': 0.261845668580326}",20,3,-4.811198490188191,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
68,False,"{'a': 0.02, 'e': 0.2566607769535559}",25,10,18.22222334460062,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.02, 'e': 0.25157855305975646}",25,13,-35.912732811095964,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
70,False,"{'a': 0.02, 'e': 0.24659696394160643}",30,8,13.067043065233301,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
71,False,"{'a': 0.02, 'e': 0.24171401689703645}",20,13,-1.4878107106462897,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.02, 'e': 0.23692775868212176}",20,15,1.4593879787471309,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.02, 'e': 0.23223627472975883}",20,3,14.04580437988333,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.02, 'e': 0.22763768838381274}",25,15,8.444776009310427,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.02, 'e': 0.22313016014842982}",20,0,-20.013260446084157,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
76,False,"{'a': 0.02, 'e': 0.21871188695221475}",30,0,28.483816025239005,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.02, 'e': 0.21438110142697794}",20,7,-14.64065003204864,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
78,False,"{'a': 0.02, 'e': 0.21013607120076472}",20,14,2.1056266481952886,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.02, 'e': 0.20597509820488344}",25,10,28.301437723093827,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.02, 'e': 0.20189651799465538}",20,9,6.335148742874955,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.02, 'e': 0.19789869908361465}",30,16,4.02868765971248,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
82,False,"{'a': 0.02, 'e': 0.19398004229089189}",30,12,-15.945547902982627,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
83,False,"{'a': 0.02, 'e': 0.1901389801015205}",20,6,-2.232149791612569,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
84,False,"{'a': 0.02, 'e': 0.18637397603940997}",20,16,6.157393410871675,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.02, 'e': 0.18268352405273466}",25,14,-2.1261303783937233,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
86,False,"{'a': 0.02, 'e': 0.17906614791149322}",25,3,-25.603275606906607,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
87,False,"{'a': 0.02, 'e': 0.17552040061699686}",20,5,26.97061578188509,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.02, 'e': 0.17204486382305054}",25,5,29.596123188891703,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.02, 'e': 0.1686381472685955}",30,14,18.075885745762207,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.02, 'e': 0.16529888822158653}",20,0,-65.39965838782206,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
91,False,"{'a': 0.02, 'e': 0.16202575093388075}",20,3,28.970886010071336,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.02, 'e': 0.15881742610692068}",30,4,28.82274892442697,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.02, 'e': 0.1556726303679973}",25,5,-0.7025272241784091,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
94,False,"{'a': 0.02, 'e': 0.15259010575688386}",20,13,1.1441886763672007,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.02, 'e': 0.14956861922263504}",20,0,32.90459900763348,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
96,False,"{'a': 0.02, 'e': 0.14660696213035015}",30,18,10.655746386374354,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.02, 'e': 0.14370394977770293}",25,17,-6.928618692750177,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
98,False,"{'a': 0.02, 'e': 0.140858420921045}",20,9,18.952642501768512,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.02, 'e': 0.13806923731089282}",25,11,18.170482427399687,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.02, 'e': 0.1353352832366127}",35,21,22.016830115996754,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.02, 'e': 0.13265546508012172}",30,16,27.29616041786659,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.02, 'e': 0.1300287108784259}",20,15,9.054411895206682,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.02, 'e': 0.12745396989482075}",20,9,21.286196584810163,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.02, 'e': 0.12493021219858241}",30,15,-47.14331014582216,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 1}",1
105,False,"{'a': 0.02, 'e': 0.1224564282529819}",20,10,19.074661911774143,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.02, 'e': 0.12003162851145673}",25,15,9.60276749788073,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.02, 'e': 0.11765484302177918}",35,18,25.99088870814307,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.02, 'e': 0.11532512103806251}",20,14,14.195124147603243,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.02, 'e': 0.11304153064044985}",25,16,-23.40755108230752,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
110,False,"{'a': 0.02, 'e': 0.11080315836233387}",20,8,-20.679122587345447,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
111,False,"{'a': 0.02, 'e': 0.10860910882495796}",20,11,16.894158896176073,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.02, 'e': 0.1064585043792528}",25,10,20.725067423126074,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.02, 'e': 0.104350484754765}",20,6,13.03926735833903,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
